"","Gene","Condition","Type"
"845","Atxn10","Ox","A"
"846","Atxn1l","Ox","A"
"847","Atxn2","Ox","A"
"848","Atxn7l3b","Ox","A"
"849","Auh","Ox","A"
"850","Aup1","Ox","A"
"851","Aven","Ox","A"
"852","Avl9","Ox","A"
"853","Azi2","Ox","A"
"854","Babam1","Ox","A"
"855","Bad","Ox","A"
"856","Bag2","Ox","A"
"857","Baiap2l1","Ox","A"
"858","Basp1","Ox","A"
"859","Baz2b","Ox","A"
"860","Bcap29","Ox","A"
"861","Bcap31","Ox","A"
"862","Bcar1","Ox","A"
"863","Bcat1","Ox","A"
"864","Bcl2l13","Ox","A"
"865","Bcl2l2","Ox","A"
"866","Bclaf1","Ox","A"
"867","Bcr","Ox","A"
"868","Becn1","Ox","A"
"869","Bet1l","Ox","A"
"870","Bicd1","Ox","A"
"871","Bicra","Ox","A"
"872","Bin1","Ox","A"
"873","Birc6","Ox","A"
"874","Bloc1s1","Ox","A"
"875","Bnip1","Ox","A"
"876","Bnip3","Ox","A"
"877","Bod1l","Ox","A"
"878","Bola1","Ox","A"
"879","Borcs5","Ox","A"
"880","Borcs6","Ox","A"
"881","Bpnt1","Ox","A"
"882","Braf","Ox","A"
"883","Brap","Ox","A"
"884","Brcc3","Ox","A"
"885","Brox","Ox","A"
"886","Brsk2","Ox","A"
"887","Bsdc1","Ox","A"
"888","Bsn","Ox","A"
"889","Btf3","Ox","A"
"890","Btf3l4","Ox","A"
"891","Bzw1","Ox","A"
"892","C2cd2","Ox","A"
"893","C2cd2l","Ox","A"
"894","Cab39","Ox","A"
"895","Cab39l","Ox","A"
"896","Cabp1","Ox","A"
"897","Cacnb1","Ox","A"
"898","Cacnb3","Ox","A"
"899","Cacnb4","Ox","A"
"900","Cacul1","Ox","A"
"901","Cacybp","Ox","A"
"902","Cadm1","Ox","A"
"903","Cadm3","Ox","A"
"904","Calca","Ox","A"
"905","Calcoco1","Ox","A"
"906","Calr","Ox","A"
"907","Camk1d","Ox","A"
"908","Camk2a","Ox","A"
"909","Camk2b","Ox","A"
